data,descricao,valor,categoria,dia_semana,semana_do_mes,mes
2024-06-03,Estacionamento Central,84.36,transporte,Monday,1,6
2024-06-04,Rappi - Açaí Brasil,62.71,delivery,Tuesday,1,6
2024-06-04,iFood - Pizza Hut,30.09,delivery,Tuesday,1,6
2024-06-05,Eletro Shopping,393.1,casa,Wednesday,1,6
2024-06-05,Atacadão,333.18,alimentação,Wednesday,1,6
2024-06-07,Estacionamento Central,159.03,transporte,Friday,1,6
2024-06-09,iFood - McDonald's,58.46,delivery,Sunday,2,6
2024-06-09,Posto Shell,162.15,transporte,Sunday,2,6
2024-06-10,Rappi - Açaí Brasil,59.28,delivery,Monday,2,6
2024-06-10,BHBUS Recarga,163.99,transporte,Monday,2,6
2024-06-10,iFood - Pizza Hut,64.46,delivery,Monday,2,6
2024-06-11,Posto Ipiranga,182.72,transporte,Tuesday,2,6
2024-06-11,Posto Ipiranga,96.57,transporte,Tuesday,2,6
2024-06-14,Bar do Zé,119.74,lazer,Friday,2,6
2024-06-14,Uber,107.23,transporte,Friday,2,6
2024-06-15,iFood - Frango Assado,96.38,delivery,Saturday,3,6
2024-06-17,iFood - McDonald's,46.07,delivery,Monday,3,6
2024-06-17,Atacadão,208.95,alimentação,Monday,3,6
2024-06-17,99 Taxi,212.32,transporte,Monday,3,6
2024-06-18,iFood - Pizza Hut,37.32,delivery,Tuesday,3,6
2024-06-18,Boate Floresta,99.98,lazer,Tuesday,3,6
2024-06-18,Mercado Extra,115.75,alimentação,Tuesday,3,6
2024-06-20,Rappi - Açaí Brasil,24.7,delivery,Thursday,3,6
2024-06-21,Uber,182.78,transporte,Friday,3,6
2024-06-22,Estacionamento Central,134.31,transporte,Saturday,4,6
2024-06-22,iFood - Frango Assado,129.83,delivery,Saturday,4,6
2024-06-23,iFood - Sushi Now,38.06,delivery,Sunday,4,6
2024-06-24,Steam Store,214.85,lazer,Monday,4,6
2024-06-28,Uber,185.16,transporte,Friday,4,6
2024-07-01,Farmácia Araújo,146.6,saúde,Monday,1,7
2024-07-02,Atacadão,267.26,alimentação,Tuesday,1,7
2024-07-04,Nike Store,233.61,vestuário,Thursday,1,7
2024-07-05,iFood - Pizza Hut,40.94,delivery,Friday,1,7
2024-07-06,Rappi - Açaí Brasil,60.2,delivery,Saturday,1,7
2024-07-08,Posto Shell,114.79,transporte,Monday,2,7
2024-07-08,Posto Ipiranga,50.69,transporte,Monday,2,7
2024-07-09,iFood - Pizza Hut,55.91,delivery,Tuesday,2,7
2024-07-09,Renner,638.41,vestuário,Tuesday,2,7
2024-07-09,Drogaria Pacheco,436.85,saúde,Tuesday,2,7
2024-07-11,Rappi - Burger King,40.69,delivery,Thursday,2,7
2024-07-12,Supermercado BH,165.79,alimentação,Friday,2,7
2024-07-12,Mercado Extra,150.88,alimentação,Friday,2,7
2024-07-12,Uber,121.59,transporte,Friday,2,7
2024-07-12,Açougue do João,67.96,alimentação,Friday,2,7
2024-07-12,Boate Floresta,68.29,lazer,Friday,2,7
2024-07-12,Amazon Livros,116.71,educação,Friday,2,7
2024-07-13,Posto Shell,205.76,transporte,Saturday,2,7
2024-07-13,Uber,140.2,transporte,Saturday,2,7
2024-07-14,iFood - McDonald's,56.29,delivery,Sunday,2,7
2024-07-14,Mercado Extra,225.54,alimentação,Sunday,2,7
2024-07-17,Steam Store,63.38,lazer,Wednesday,3,7
2024-07-18,Mercado Extra,161.08,alimentação,Thursday,3,7
2024-07-20,Eletro Shopping,568.32,casa,Saturday,3,7
2024-07-20,Rappi - Açaí Brasil,123.71,delivery,Saturday,3,7
2024-07-22,Posto Ipiranga,150.03,transporte,Monday,4,7
2024-07-22,Supermercado BH,318.88,alimentação,Monday,4,7
2024-07-22,Mercado Extra,184.91,alimentação,Monday,4,7
2024-07-25,Netflix,37.99,lazer,Thursday,4,7
2024-07-26,Rappi - Açaí Brasil,123.47,delivery,Friday,4,7
2024-07-26,Rappi - Açaí Brasil,75.54,delivery,Friday,4,7
2024-07-26,iFood - Pizza Hut,106.79,delivery,Friday,4,7
2024-07-26,iFood - Pizza Hut,138.2,delivery,Friday,4,7
2024-07-27,Posto Ipiranga,154.1,transporte,Saturday,4,7
2024-07-27,99 Taxi,127.46,transporte,Saturday,4,7
2024-07-28,99 Taxi,145.36,transporte,Sunday,4,7
2024-07-28,Rappi - Açaí Brasil,40.39,delivery,Sunday,4,7
2024-07-28,Cinemark BH,242.66,lazer,Sunday,4,7
2024-07-28,iFood - Pizza Hut,45.56,delivery,Sunday,4,7
2024-08-02,Hortifruti Verde,301.89,alimentação,Friday,1,8
2024-08-03,Rappi - Açaí Brasil,17.69,delivery,Saturday,1,8
2024-08-03,Drogaria Pacheco,133.35,saúde,Saturday,1,8
2024-08-05,Posto Ipiranga,81.34,transporte,Monday,1,8
2024-08-07,99 Taxi,135.96,transporte,Wednesday,1,8
2024-08-07,Atacadão,177.68,alimentação,Wednesday,1,8
2024-08-10,Bar do Zé,197.64,lazer,Saturday,2,8
2024-08-10,Uber,122.79,transporte,Saturday,2,8
2024-08-10,99 Taxi,127.96,transporte,Saturday,2,8
2024-08-11,99 Taxi,183.44,transporte,Sunday,2,8
2024-08-11,iFood - Frango Assado,34.51,delivery,Sunday,2,8
2024-08-11,Rappi - Açaí Brasil,49.95,delivery,Sunday,2,8
2024-08-11,Rappi - Burger King,57.61,delivery,Sunday,2,8
2024-08-12,Rappi - Burger King,53.81,delivery,Monday,2,8
2024-08-13,Açougue do João,241.95,alimentação,Tuesday,2,8
2024-08-13,Estacionamento Central,156.53,transporte,Tuesday,2,8
2024-08-14,Supermercado BH,256.01,alimentação,Wednesday,2,8
2024-08-14,Estacionamento Central,216.48,transporte,Wednesday,2,8
2024-08-15,99 Taxi,91.63,transporte,Thursday,3,8
2024-08-17,99 Taxi,41.92,transporte,Saturday,3,8
2024-08-17,iFood - Sushi Now,47.51,delivery,Saturday,3,8
2024-08-18,Posto Shell,95.99,transporte,Sunday,3,8
2024-08-20,BHBUS Recarga,180.03,transporte,Tuesday,3,8
2024-08-20,Estacionamento Central,190.43,transporte,Tuesday,3,8
2024-08-22,Rappi - Burger King,46.2,delivery,Thursday,4,8
2024-08-22,Clínica Saúde Total,110.56,saúde,Thursday,4,8
2024-08-22,Boate Floresta,58.21,lazer,Thursday,4,8
2024-08-22,Cinemark BH,100.59,lazer,Thursday,4,8
2024-08-22,Posto Ipiranga,266.92,transporte,Thursday,4,8
2024-08-22,Rappi - Açaí Brasil,63.88,delivery,Thursday,4,8
2024-08-22,iFood - Pizza Hut,36.46,delivery,Thursday,4,8
2024-08-23,iFood - Sushi Now,150.89,delivery,Friday,4,8
2024-08-24,Rappi - Açaí Brasil,126.89,delivery,Saturday,4,8
2024-08-24,iFood - Sushi Now,157.77,delivery,Saturday,4,8
2024-08-24,Posto Ipiranga,80.74,transporte,Saturday,4,8
2024-08-26,BHBUS Recarga,161.9,transporte,Monday,4,8
2024-08-26,Estacionamento Central,148.11,transporte,Monday,4,8
2024-08-26,iFood - Frango Assado,40.85,delivery,Monday,4,8
2024-08-28,iFood - McDonald's,30.04,delivery,Wednesday,4,8
2024-09-02,iFood - Frango Assado,43.17,delivery,Monday,1,9
2024-09-02,Mercado Extra,289.28,alimentação,Monday,1,9
2024-09-02,Casas Bahia,227.94,casa,Monday,1,9
2024-09-03,Spotify,101.99,lazer,Tuesday,1,9
2024-09-05,Rappi - Açaí Brasil,38.42,delivery,Thursday,1,9
2024-09-05,Spotify,79.57,lazer,Thursday,1,9
2024-09-08,iFood - McDonald's,65.94,delivery,Sunday,2,9
2024-09-08,iFood - Pizza Hut,54.58,delivery,Sunday,2,9
2024-09-08,Uber,151.67,transporte,Sunday,2,9
2024-09-08,Uber,79.76,transporte,Sunday,2,9
2024-09-09,BHBUS Recarga,113.45,transporte,Monday,2,9
2024-09-11,Bar do Zé,101.84,lazer,Wednesday,2,9
2024-09-13,Boate Floresta,48.6,lazer,Friday,2,9
2024-09-13,iFood - Pizza Hut,121.67,delivery,Friday,2,9
2024-09-13,Rappi - Burger King,128.26,delivery,Friday,2,9
2024-09-14,Amazon Livros,52.91,educação,Saturday,2,9
2024-09-15,Tok&Stok,396.27,casa,Sunday,3,9
2024-09-15,iFood - Pizza Hut,50.96,delivery,Sunday,3,9
2024-09-15,Posto Shell,71.43,transporte,Sunday,3,9
2024-09-15,Posto Ipiranga,107.59,transporte,Sunday,3,9
2024-09-15,Uber,114.79,transporte,Sunday,3,9
2024-09-15,Padaria Central,138.43,alimentação,Sunday,3,9
2024-09-16,Estacionamento Central,264.8,transporte,Monday,3,9
2024-09-16,Açougue do João,230.98,alimentação,Monday,3,9
2024-09-17,Rappi - Burger King,80.55,delivery,Tuesday,3,9
2024-09-17,99 Taxi,157.09,transporte,Tuesday,3,9
2024-09-19,iFood - Pizza Hut,72.99,delivery,Thursday,3,9
2024-09-20,Uber,198.92,transporte,Friday,3,9
2024-09-20,Estacionamento Central,223.88,transporte,Friday,3,9
2024-09-22,iFood - Frango Assado,76.98,delivery,Sunday,4,9
2024-09-23,Rappi - Açaí Brasil,61.15,delivery,Monday,4,9
2024-09-23,Drogaria Pacheco,156.06,saúde,Monday,4,9
2024-09-23,iFood - McDonald's,43.8,delivery,Monday,4,9
2024-09-23,Uber,216.22,transporte,Monday,4,9
2024-09-24,99 Taxi,172.86,transporte,Tuesday,4,9
2024-09-25,Rappi - Burger King,67.21,delivery,Wednesday,4,9
2024-09-25,Posto Ipiranga,161.04,transporte,Wednesday,4,9
2024-09-25,99 Taxi,198.3,transporte,Wednesday,4,9
2024-09-25,iFood - McDonald's,69.95,delivery,Wednesday,4,9
2024-09-26,Rappi - Burger King,50.65,delivery,Thursday,4,9
2024-09-26,Rappi - Açaí Brasil,57.35,delivery,Thursday,4,9
2024-09-27,BHBUS Recarga,191.46,transporte,Friday,4,9
2024-09-27,Estacionamento Central,186.95,transporte,Friday,4,9
2024-09-28,Supermercado BH,201.42,alimentação,Saturday,4,9
2024-10-01,Atacadão,261.33,alimentação,Tuesday,1,10
2024-10-01,Rappi - Burger King,40.63,delivery,Tuesday,1,10
2024-10-02,Udemy,80.98,educação,Wednesday,1,10
2024-10-03,Estacionamento Central,140.99,transporte,Thursday,1,10
2024-10-05,iFood - Frango Assado,93.24,delivery,Saturday,1,10
2024-10-06,Posto Shell,140.77,transporte,Sunday,1,10
2024-10-08,Alura,99.92,educação,Tuesday,2,10
2024-10-08,iFood - Sushi Now,26.04,delivery,Tuesday,2,10
2024-10-08,Rappi - Burger King,59.64,delivery,Tuesday,2,10
2024-10-08,Renner,195.64,vestuário,Tuesday,2,10
2024-10-09,99 Taxi,235.7,transporte,Wednesday,2,10
2024-10-10,Padaria Central,194.62,alimentação,Thursday,2,10
2024-10-11,Rappi - Açaí Brasil,91.32,delivery,Friday,2,10
2024-10-11,Posto Ipiranga,150.34,transporte,Friday,2,10
2024-10-11,99 Taxi,191.89,transporte,Friday,2,10
2024-10-13,Padaria Central,146.18,alimentação,Sunday,2,10
2024-10-13,iFood - Frango Assado,34.95,delivery,Sunday,2,10
2024-10-13,Açougue do João,130.47,alimentação,Sunday,2,10
2024-10-14,Rappi - Burger King,26.85,delivery,Monday,2,10
2024-10-14,Netflix,87.84,lazer,Monday,2,10
2024-10-14,Posto Ipiranga,172.78,transporte,Monday,2,10
2024-10-15,Uber,176.89,transporte,Tuesday,3,10
2024-10-16,Cinemark BH,83.42,lazer,Wednesday,3,10
2024-10-18,iFood - Frango Assado,82.04,delivery,Friday,3,10
2024-10-18,iFood - McDonald's,98.32,delivery,Friday,3,10
2024-10-19,Rappi - Açaí Brasil,98.33,delivery,Saturday,3,10
2024-10-22,Rappi - Burger King,61.22,delivery,Tuesday,4,10
2024-10-23,Supermercado BH,160.72,alimentação,Wednesday,4,10
2024-10-24,iFood - Pizza Hut,84.51,delivery,Thursday,4,10
2024-10-24,Rappi - Açaí Brasil,44.86,delivery,Thursday,4,10
2024-10-25,Cinema Show,65.96,lazer,Friday,4,10
2024-10-27,Rappi - Burger King,72.15,delivery,Sunday,4,10
2024-10-27,Cinemark BH,176.97,lazer,Sunday,4,10
2024-10-28,Padaria Central,194.7,alimentação,Monday,4,10
2024-10-28,Açougue do João,204.78,alimentação,Monday,4,10
2024-10-28,99 Taxi,112.98,transporte,Monday,4,10
2024-11-04,99 Taxi,124.83,transporte,Monday,1,11
2024-11-05,Padaria Central,475.11,alimentação,Tuesday,1,11
2024-11-05,Mercado Extra,534.14,alimentação,Tuesday,1,11
2024-11-06,Açougue do João,622.78,alimentação,Wednesday,1,11
2024-11-07,iFood - McDonald's,61.84,delivery,Thursday,1,11
2024-11-08,Posto Shell,205.42,transporte,Friday,2,11
2024-11-09,Clínica Saúde Total,191.16,saúde,Saturday,2,11
2024-11-09,Atacadão,191.0,alimentação,Saturday,2,11
2024-11-10,iFood - McDonald's,43.01,delivery,Sunday,2,11
2024-11-10,iFood - Frango Assado,44.48,delivery,Sunday,2,11
2024-11-11,Posto Shell,150.04,transporte,Monday,2,11
2024-11-12,Estacionamento Central,156.27,transporte,Tuesday,2,11
2024-11-12,Posto Shell,66.92,transporte,Tuesday,2,11
2024-11-12,BHBUS Recarga,217.33,transporte,Tuesday,2,11
2024-11-13,Rappi - Açaí Brasil,58.01,delivery,Wednesday,2,11
2024-11-14,Estacionamento Central,131.6,transporte,Thursday,2,11
2024-11-14,Spotify,64.25,lazer,Thursday,2,11
2024-11-15,Hortifruti Verde,232.34,alimentação,Friday,3,11
2024-11-15,Casas Bahia,356.74,casa,Friday,3,11
2024-11-15,Academia Smart Fit,138.61,saúde,Friday,3,11
2024-11-17,Estacionamento Central,174.15,transporte,Sunday,3,11
2024-11-19,iFood - McDonald's,12.52,delivery,Tuesday,3,11
2024-11-19,Mercado Extra,133.96,alimentação,Tuesday,3,11
2024-11-20,Posto Shell,181.58,transporte,Wednesday,3,11
2024-11-20,Hortifruti Verde,131.5,alimentação,Wednesday,3,11
2024-11-21,Netflix,42.63,lazer,Thursday,3,11
2024-11-22,Supermercado BH,309.19,alimentação,Friday,4,11
2024-11-22,Rappi - Burger King,71.67,delivery,Friday,4,11
2024-11-23,Uber,96.92,transporte,Saturday,4,11
2024-11-23,Estacionamento Central,195.05,transporte,Saturday,4,11
2024-11-24,Bar do Zé,223.96,lazer,Sunday,4,11
2024-11-25,iFood - Pizza Hut,38.21,delivery,Monday,4,11
2024-11-26,Posto Shell,251.24,transporte,Tuesday,4,11
2024-11-26,BHBUS Recarga,87.35,transporte,Tuesday,4,11
2024-11-27,99 Taxi,158.44,transporte,Wednesday,4,11
2024-11-27,Laboratório Hermes,159.62,saúde,Wednesday,4,11
2024-11-27,99 Taxi,73.09,transporte,Wednesday,4,11
2024-11-28,99 Taxi,220.37,transporte,Thursday,4,11
2024-11-28,Estacionamento Central,109.28,transporte,Thursday,4,11
2024-12-01,Posto Shell,49.65,transporte,Sunday,1,12
2024-12-03,iFood - Pizza Hut,50.02,delivery,Tuesday,1,12
2024-12-04,Estacionamento Central,48.49,transporte,Wednesday,1,12
2024-12-04,Cinema Show,181.49,lazer,Wednesday,1,12
2024-12-04,Estacionamento Central,88.17,transporte,Wednesday,1,12
2024-12-06,Netflix,98.31,lazer,Friday,1,12
2024-12-06,Posto Ipiranga,175.06,transporte,Friday,1,12
2024-12-06,Padaria Central,270.18,alimentação,Friday,1,12
2024-12-07,Atacadão,546.14,alimentação,Saturday,1,12
2024-12-07,Uber,116.44,transporte,Saturday,1,12
2024-12-07,Estacionamento Central,82.4,transporte,Saturday,1,12
