data,descricao,valor,categoria
2024-03-10,Hortifruti Verde,148.9,alimentação
2024-03-11,Padaria Central,210.8,alimentação
2024-03-12,Mercado Extra,234.92,alimentação
2024-03-13,Boate Floresta,94.14,lazer
2024-03-14,Posto Ipiranga,138.18,transporte
2024-03-15,Cinemark BH,89.01,lazer
2024-03-15,Bar do Zé,86.11,alimentação
2024-03-16,BHBUS Recarga,110.62,transporte
2024-03-17,BHBUS Recarga,103.17,alimentação
2024-03-17,Açougue do João,131.49,alimentação
2024-03-18,Açougue do João,199.73,transporte
2024-03-18,Estacionamento Central,114.28,transporte
2024-03-21,Netflix,146.02,lazer
2024-03-23,Posto Ipiranga,113.55,transporte
2024-03-24,Rappi - Burger King,25.73,delivery
2024-03-25,BHBUS Recarga,171.4,transporte
2024-03-25,Posto Ipiranga,169.57,alimentação
2024-03-27,iFood - Sushi Now,74.37,delivery
2024-04-01,Livraria Cultura,27.18,educação
2024-04-02,Atacadão,336.92,alimentação
2024-04-02,Rappi - Açaí Brasil,56.99,delivery
2024-04-03,Açougue do João,396.19,alimentação
2024-04-03,Posto Ipiranga,165.6,transporte
2024-04-04,Posto Shell,167.83,transporte
2024-04-04,iFood - McDonald's,23.99,delivery
2024-04-04,Rappi - Açaí Brasil,66.74,delivery
2024-04-05,99 Taxi,236.6,transporte
2024-04-06,Uber,88.67,transporte
2024-04-07,iFood - McDonald's,26.96,delivery
2024-04-07,Posto Ipiranga,138.94,alimentação
2024-04-08,Rappi - Burger King,36.81,delivery
2024-04-08,Atacadão,177.92,alimentação
2024-04-08,Supermercado BH,327.79,alimentação
2024-04-11,iFood - McDonald's,33.75,delivery
2024-04-13,Rappi - Açaí Brasil,101.47,delivery
2024-04-14,Steam Store,196.01,lazer
2024-04-14,Rappi - Burger King,35.19,alimentação
2024-04-14,iFood - Sushi Now,98.81,alimentação
2024-04-15,Posto Ipiranga,139.25,transporte
2024-04-15,BHBUS Recarga,92.0,outros
2024-04-15,Rappi - Açaí Brasil,43.67,lazer
2024-04-16,iFood - Pizza Hut,31.63,alimentação
2024-04-16,Spotify,107.36,lazer
2024-04-18,99 Taxi,108.19,transporte
2024-04-18,iFood - Pizza Hut,77.86,alimentação
2024-04-19,Rappi - Burger King,127.48,delivery
2024-04-21,Rappi - Açaí Brasil,44.93,delivery
2024-04-21,BHBUS Recarga,172.29,transporte
2024-04-24,iFood - Frango Assado,70.04,delivery
2024-04-26,Tok&Stok,328.29,lazer
2024-04-26,Rappi - Burger King,149.5,delivery
2024-04-27,Posto Shell,55.7,transporte
2024-04-28,Steam Store,80.75,lazer
2024-04-28,Posto Shell,152.54,transporte
2024-05-02,Rappi - Açaí Brasil,92.32,delivery
2024-05-02,iFood - Frango Assado,31.17,delivery
2024-05-03,Rappi - Açaí Brasil,113.86,delivery
2024-05-03,iFood - Frango Assado,133.68,delivery
2024-05-06,iFood - McDonald's,70.74,alimentação
2024-05-07,Atacadão,387.87,alimentação
2024-05-07,Supermercado BH,395.17,alimentação
2024-05-09,99 Taxi,231.58,transporte
2024-05-09,Posto Ipiranga,170.39,transporte
2024-05-10,Steam Store,175.21,lazer
2024-05-11,Cinema Show,224.18,educação
2024-05-11,Posto Ipiranga,120.52,alimentação
2024-05-11,iFood - McDonald's,116.06,delivery
2024-05-13,iFood - McDonald's,92.94,delivery
2024-05-14,Hortifruti Verde,197.82,alimentação
2024-05-14,Estacionamento Central,113.58,transporte
2024-05-16,iFood - Frango Assado,68.13,delivery
2024-05-16,Mercado Extra,139.2,alimentação
2024-05-17,iFood - McDonald's,140.71,delivery
2024-05-17,Uber,173.74,transporte
2024-05-19,iFood - Pizza Hut,50.09,delivery
2024-05-19,iFood - Frango Assado,39.93,delivery
2024-05-19,BHBUS Recarga,116.92,transporte
2024-05-20,Coursera,45.71,educação
2024-05-20,Posto Shell,109.75,alimentação
2024-05-22,Boate Floresta,70.74,lazer
2024-05-22,Hortifruti Verde,200.79,alimentação
2024-05-22,Estacionamento Central,199.01,alimentação
2024-05-24,iFood - Frango Assado,73.28,delivery
2024-05-24,Açougue do João,195.03,alimentação
2024-05-28,iFood - Pizza Hut,71.44,transporte
2024-05-28,iFood - Pizza Hut,38.59,delivery
2024-05-28,iFood - Frango Assado,35.51,delivery
2024-06-02,Posto Shell,140.6,transporte
2024-06-02,Magazine Luiza,347.71,vestuário
2024-06-03,Mercado Extra,445.68,alimentação
2024-06-03,Estacionamento Central,84.36,transporte
2024-06-04,Rappi - Açaí Brasil,62.71,delivery
2024-06-04,iFood - Pizza Hut,30.09,delivery
2024-06-05,Eletro Shopping,393.1,vestuário
2024-06-05,Atacadão,333.18,alimentação
2024-06-07,Estacionamento Central,159.03,transporte
2024-06-09,iFood - McDonald's,58.46,alimentação
2024-06-09,Posto Shell,162.15,transporte
2024-06-10,Rappi - Açaí Brasil,59.28,alimentação
2024-06-10,BHBUS Recarga,163.99,outros
2024-06-10,iFood - Pizza Hut,64.46,alimentação
2024-06-11,Posto Ipiranga,182.72,transporte
2024-06-11,Posto Ipiranga,96.57,transporte
2024-06-14,Bar do Zé,119.74,lazer
2024-06-14,Uber,107.23,transporte
2024-06-15,iFood - Frango Assado,96.38,delivery
2024-06-17,iFood - McDonald's,46.07,delivery
2024-06-17,Atacadão,208.95,alimentação
2024-06-17,99 Taxi,212.32,transporte
2024-06-18,iFood - Pizza Hut,37.32,delivery
2024-06-18,Boate Floresta,99.98,lazer
2024-06-18,Mercado Extra,115.75,alimentação
2024-06-20,Rappi - Açaí Brasil,24.7,delivery
2024-06-21,Uber,182.78,transporte
2024-06-22,Estacionamento Central,134.31,casa
2024-06-22,iFood - Frango Assado,129.83,delivery
2024-06-23,iFood - Sushi Now,38.06,delivery
2024-06-24,Steam Store,214.85,lazer
2024-06-28,Uber,185.16,transporte
2024-07-01,Farmácia Araújo,146.6,saúde
2024-07-02,Atacadão,267.26,alimentação
2024-07-04,Nike Store,233.61,vestuário
2024-07-05,iFood - Pizza Hut,40.94,delivery
2024-07-06,Rappi - Açaí Brasil,60.2,lazer
2024-07-08,Posto Shell,114.79,transporte
2024-07-08,Posto Ipiranga,50.69,alimentação
2024-07-09,iFood - Pizza Hut,55.91,alimentação
2024-07-09,Renner,638.41,vestuário
2024-07-09,Drogaria Pacheco,436.85,saúde
2024-07-11,Rappi - Burger King,40.69,alimentação
2024-07-12,Supermercado BH,165.79,alimentação
2024-07-12,Mercado Extra,150.88,alimentação
2024-07-12,Uber,121.59,transporte
2024-07-12,Açougue do João,67.96,alimentação
2024-07-12,Boate Floresta,68.29,lazer
2024-07-12,Amazon Livros,116.71,educação
2024-07-13,Posto Shell,205.76,alimentação
2024-07-13,Uber,140.2,transporte
2024-07-14,iFood - McDonald's,56.29,delivery
2024-07-14,Mercado Extra,225.54,alimentação
2024-07-17,Steam Store,63.38,lazer
2024-07-18,Mercado Extra,161.08,alimentação
2024-07-20,Eletro Shopping,568.32,vestuário
2024-07-20,Rappi - Açaí Brasil,123.71,lazer
2024-07-22,Posto Ipiranga,150.03,transporte
2024-07-22,Supermercado BH,318.88,alimentação
2024-07-22,Mercado Extra,184.91,alimentação
2024-07-25,Netflix,37.99,lazer
2024-07-26,Rappi - Açaí Brasil,123.47,alimentação
2024-07-26,Rappi - Açaí Brasil,75.54,alimentação
2024-07-26,iFood - Pizza Hut,106.79,alimentação
2024-07-26,iFood - Pizza Hut,138.2,alimentação
2024-07-27,Posto Ipiranga,154.1,transporte
2024-07-27,99 Taxi,127.46,transporte
2024-07-28,99 Taxi,145.36,transporte
2024-07-28,Rappi - Açaí Brasil,40.39,delivery
2024-07-28,Cinemark BH,242.66,lazer
2024-07-28,iFood - Pizza Hut,45.56,delivery
2024-08-02,Hortifruti Verde,301.89,alimentação
2024-08-03,Rappi - Açaí Brasil,17.69,delivery
2024-08-03,Drogaria Pacheco,133.35,saúde
2024-08-05,Posto Ipiranga,81.34,transporte
2024-08-07,99 Taxi,135.96,transporte
2024-08-07,Atacadão,177.68,alimentação
2024-08-10,Bar do Zé,197.64,lazer
2024-08-10,Uber,122.79,transporte
2024-08-10,99 Taxi,127.96,transporte
2024-08-11,99 Taxi,183.44,transporte
2024-08-11,iFood - Frango Assado,34.51,alimentação
2024-08-11,Rappi - Açaí Brasil,49.95,alimentação
2024-08-11,Rappi - Burger King,57.61,alimentação
2024-08-12,Rappi - Burger King,53.81,alimentação
2024-08-13,Açougue do João,241.95,alimentação
2024-08-13,Estacionamento Central,156.53,outros
2024-08-14,Supermercado BH,256.01,alimentação
2024-08-14,Estacionamento Central,216.48,transporte
2024-08-15,99 Taxi,91.63,transporte
2024-08-17,99 Taxi,41.92,delivery
2024-08-17,iFood - Sushi Now,47.51,delivery
2024-08-18,Posto Shell,95.99,transporte
2024-08-20,BHBUS Recarga,180.03,outros
2024-08-20,Estacionamento Central,190.43,transporte
2024-08-22,Rappi - Burger King,46.2,delivery
2024-08-22,Clínica Saúde Total,110.56,saúde
2024-08-22,Boate Floresta,58.21,lazer
2024-08-22,Cinemark BH,100.59,lazer
2024-08-22,Posto Ipiranga,266.92,transporte
2024-08-22,Rappi - Açaí Brasil,63.88,delivery
2024-08-22,iFood - Pizza Hut,36.46,delivery
2024-08-23,iFood - Sushi Now,150.89,delivery
2024-08-24,Rappi - Açaí Brasil,126.89,delivery
2024-08-24,iFood - Sushi Now,157.77,delivery
2024-08-24,Posto Ipiranga,80.74,transporte
2024-08-26,BHBUS Recarga,161.9,outros
2024-08-26,Estacionamento Central,148.11,transporte
2024-08-26,iFood - Frango Assado,40.85,delivery
2024-08-28,iFood - McDonald's,30.04,delivery
2024-09-02,iFood - Frango Assado,43.17,delivery
2024-09-02,Mercado Extra,289.28,alimentação
2024-09-02,Casas Bahia,227.94,vestuário
2024-09-03,Spotify,101.99,lazer
2024-09-05,Rappi - Açaí Brasil,38.42,lazer
2024-09-05,Spotify,79.57,lazer
2024-09-08,iFood - McDonald's,65.94,delivery
2024-09-08,iFood - Pizza Hut,54.58,delivery
2024-09-08,Uber,151.67,transporte
2024-09-08,Uber,79.76,transporte
2024-09-09,BHBUS Recarga,113.45,outros
2024-09-11,Bar do Zé,101.84,alimentação
2024-09-13,Boate Floresta,48.6,lazer
2024-09-13,iFood - Pizza Hut,121.67,alimentação
2024-09-13,Rappi - Burger King,128.26,alimentação
2024-09-14,Amazon Livros,52.91,educação
2024-09-15,Tok&Stok,396.27,vestuário
2024-09-15,iFood - Pizza Hut,50.96,alimentação
2024-09-15,Posto Shell,71.43,transporte
2024-09-15,Posto Ipiranga,107.59,transporte
2024-09-15,Uber,114.79,transporte
2024-09-15,Padaria Central,138.43,alimentação
2024-09-16,Estacionamento Central,264.8,casa
2024-09-16,Açougue do João,230.98,saúde
2024-09-17,Rappi - Burger King,80.55,delivery
2024-09-17,99 Taxi,157.09,alimentação
2024-09-19,iFood - Pizza Hut,72.99,delivery
2024-09-20,Uber,198.92,transporte
2024-09-20,Estacionamento Central,223.88,transporte
2024-09-22,iFood - Frango Assado,76.98,alimentação
2024-09-23,Rappi - Açaí Brasil,61.15,alimentação
2024-09-23,Drogaria Pacheco,156.06,saúde
2024-09-23,iFood - McDonald's,43.8,alimentação
2024-09-23,Uber,216.22,transporte
2024-09-24,99 Taxi,172.86,transporte
2024-09-25,Rappi - Burger King,67.21,alimentação
2024-09-25,Posto Ipiranga,161.04,transporte
2024-09-25,99 Taxi,198.3,transporte
2024-09-25,iFood - McDonald's,69.95,delivery
2024-09-26,Rappi - Burger King,50.65,delivery
2024-09-26,Rappi - Açaí Brasil,57.35,lazer
2024-09-27,BHBUS Recarga,191.46,transporte
2024-09-27,Estacionamento Central,186.95,transporte
2024-09-28,Supermercado BH,201.42,alimentação
2024-10-01,Atacadão,261.33,alimentação
2024-10-01,Rappi - Burger King,40.63,delivery
2024-10-02,Udemy,80.98,educação
2024-10-03,Estacionamento Central,140.99,transporte
2024-10-05,iFood - Frango Assado,93.24,delivery
2024-10-06,Posto Shell,140.77,transporte
2024-10-08,Alura,99.92,educação
2024-10-08,iFood - Sushi Now,26.04,delivery
2024-10-08,Rappi - Burger King,59.64,delivery
2024-10-08,Renner,195.64,vestuário
2024-10-09,99 Taxi,235.7,transporte
2024-10-10,Padaria Central,194.62,alimentação
2024-10-11,Rappi - Açaí Brasil,91.32,lazer
2024-10-11,Posto Ipiranga,150.34,transporte
2024-10-11,99 Taxi,191.89,transporte
2024-10-13,Padaria Central,146.18,alimentação
2024-10-13,iFood - Frango Assado,34.95,delivery
2024-10-13,Açougue do João,130.47,alimentação
2024-10-14,Rappi - Burger King,26.85,delivery
2024-10-14,Netflix,87.84,lazer
2024-10-14,Posto Ipiranga,172.78,transporte
2024-10-15,Uber,176.89,transporte
2024-10-16,Cinemark BH,83.42,lazer
2024-10-18,iFood - Frango Assado,82.04,delivery
2024-10-18,iFood - McDonald's,98.32,delivery
2024-10-19,Rappi - Açaí Brasil,98.33,delivery
2024-10-22,Rappi - Burger King,61.22,delivery
2024-10-23,Supermercado BH,160.72,alimentação
2024-10-24,iFood - Pizza Hut,84.51,delivery
2024-10-24,Rappi - Açaí Brasil,44.86,delivery
2024-10-25,Cinema Show,65.96,lazer
2024-10-27,Rappi - Burger King,72.15,delivery
2024-10-27,Cinemark BH,176.97,lazer
2024-10-28,Padaria Central,194.7,alimentação
2024-10-28,Açougue do João,204.78,alimentação
2024-10-28,99 Taxi,112.98,transporte
2024-11-04,99 Taxi,124.83,transporte
2024-11-05,Padaria Central,475.11,alimentação
2024-11-05,Mercado Extra,534.14,alimentação
2024-11-06,Açougue do João,622.78,alimentação
2024-11-07,iFood - McDonald's,61.84,delivery
2024-11-08,Posto Shell,205.42,transporte
2024-11-09,Clínica Saúde Total,191.16,saúde
2024-11-09,Atacadão,191.0,alimentação
2024-11-10,iFood - McDonald's,43.01,delivery
2024-11-10,iFood - Frango Assado,44.48,delivery
2024-11-11,Posto Shell,150.04,transporte
2024-11-12,Estacionamento Central,156.27,transporte
2024-11-12,Posto Shell,66.92,transporte
2024-11-12,BHBUS Recarga,217.33,outros
2024-11-13,Rappi - Açaí Brasil,58.01,lazer
2024-11-14,Estacionamento Central,131.6,transporte
2024-11-14,Spotify,64.25,lazer
2024-11-15,Hortifruti Verde,232.34,alimentação
2024-11-15,Casas Bahia,356.74,vestuário
2024-11-15,Academia Smart Fit,138.61,saúde
2024-11-17,Estacionamento Central,174.15,transporte
2024-11-19,iFood - McDonald's,12.52,delivery
2024-11-19,Mercado Extra,133.96,alimentação
2024-11-20,Posto Shell,181.58,alimentação
2024-11-20,Hortifruti Verde,131.5,casa
2024-11-21,Netflix,42.63,lazer
2024-11-22,Supermercado BH,309.19,alimentação
2024-11-22,Rappi - Burger King,71.67,transporte
2024-11-23,Uber,96.92,transporte
2024-11-23,Estacionamento Central,195.05,transporte
2024-11-24,Bar do Zé,223.96,alimentação
2024-11-25,iFood - Pizza Hut,38.21,delivery
2024-11-26,Posto Shell,251.24,transporte
2024-11-26,BHBUS Recarga,87.35,outros
2024-11-27,99 Taxi,158.44,transporte
2024-11-27,Laboratório Hermes,159.62,saúde
2024-11-27,99 Taxi,73.09,transporte
2024-11-28,99 Taxi,220.37,transporte
2024-11-28,Estacionamento Central,109.28,transporte
2024-12-01,Posto Shell,49.65,delivery
2024-12-03,iFood - Pizza Hut,50.02,transporte
2024-12-04,Estacionamento Central,48.49,transporte
2024-12-04,Cinema Show,181.49,lazer
2024-12-04,Estacionamento Central,88.17,transporte
2024-12-06,Netflix,98.31,lazer
2024-12-06,Posto Ipiranga,175.06,transporte
2024-12-06,Padaria Central,270.18,alimentação
2024-12-07,Atacadão,546.14,alimentação
2024-12-07,Uber,116.44,transporte
2024-12-07,Estacionamento Central,82.4,transporte
2024-12-07,Netflix,160.16,lazer
2024-12-08,Netflix,343.7,lazer
2024-12-08,Uber,109.22,transporte
2024-12-09,iFood - Frango Assado,78.59,alimentação
2024-12-09,Posto Ipiranga,154.3,transporte
2024-12-09,Uber,175.97,transporte
2024-12-09,Renner,285.55,vestuário
2024-12-10,Posto Ipiranga,94.47,transporte
2024-12-10,Casas Bahia,94.71,vestuário
2024-12-11,Supermercado BH,256.66,alimentação
2024-12-11,Uber,67.42,transporte
2024-12-12,99 Taxi,234.12,transporte
2024-12-12,99 Taxi,240.69,transporte
2024-12-13,Estacionamento Central,49.96,transporte
2024-12-16,Rappi - Burger King,76.17,alimentação
2024-12-16,Uber,129.28,transporte
2024-12-16,iFood - Frango Assado,67.91,alimentação
2024-12-16,Atacadão,199.94,alimentação
2024-12-17,iFood - Pizza Hut,90.11,delivery
2024-12-18,BHBUS Recarga,159.85,transporte
2024-12-18,Estacionamento Central,190.82,transporte
2024-12-18,iFood - McDonald's,96.21,delivery
2024-12-18,C&A,128.64,vestuário
2024-12-19,Açougue do João,112.52,alimentação
2024-12-20,Netflix,124.49,lazer
2024-12-21,Rappi - Açaí Brasil,123.7,delivery
2024-12-21,Tok&Stok,166.95,outros
2024-12-22,BHBUS Recarga,148.7,transporte
2024-12-22,Padaria Central,87.95,alimentação
2024-12-23,Rappi - Burger King,35.7,delivery
2024-12-23,iFood - Sushi Now,56.35,delivery
2024-12-23,99 Taxi,153.11,transporte
2024-12-24,BHBUS Recarga,84.23,outros
2024-12-24,Rappi - Burger King,74.43,delivery
2024-12-25,Bar do Zé,68.68,lazer
2024-12-25,iFood - Pizza Hut,82.37,delivery
2024-12-26,Atacadão,186.94,alimentação
